Node,PageRank,In_Degree,Out_Degree,Reciprocity_Ratio
open,0.04396173112908,3,0,0
cafetechinenglish,0.035753374160322815,1,0,0
aleximas,0.03380113268140135,3,0,0
thezvi,0.03301551194510318,2,19,0
importai,0.029016795092142705,2,7,0
scrollprize,0.027539787514663894,1,0,0
twotruths,0.024801925299444253,1,0,0
wondertools,0.024801925299444253,1,0,0
prosperinai,0.024801925299444253,1,0,0
thetranscript,0.024801925299444253,1,0,0
asteriskmag,0.02354107066170343,2,0,0
agglomerations,0.022849683820522788,1,0,0
aiprospects,0.022849683820522788,1,0,0
post,0.022849683820522788,1,0,0
therealartificialintelligence,0.022849683820522788,1,0,0
freesystems,0.022849683820522788,1,0,0
forecastingresearch,0.022849683820522788,1,0,0
interconnect,0.022064063084224615,1,0,0
convequity,0.022064063084224615,1,0,0
joannastern,0.022064063084224615,1,0,0
afraw,0.022064063084224615,1,0,0
linch,0.020803208446483788,1,0,0
arnoldkling,0.020803208446483788,1,0,0
garymarcus,0.020803208446483788,1,1,0
homosabiens,0.020803208446483788,1,0,0
nablatheta,0.020803208446483788,1,0,0
profserious,0.020803208446483788,1,0,0
modelrepublic,0.020803208446483788,1,0,0
thetwocents,0.020803208446483788,1,0,0
ratorthodox,0.020803208446483788,1,0,0
securebio,0.020803208446483788,1,0,0
zachill,0.020803208446483788,1,0,0
kajsotala,0.020803208446483788,1,0,0
nanransohoff,0.020803208446483788,1,0,0
sarahconstantin,0.020803208446483788,1,0,0
auren,0.020803208446483788,1,0,0
worldspiritsockpuppet,0.020803208446483788,1,0,0
technosapiens,0.019326200869004974,0,3,0
aisupremacy,0.019326200869004974,0,3,0
lastweekinai,0.019326200869004974,0,1,0
exponentialview,0.019326200869004974,0,6,0
understandingai,0.019326200869004974,0,2,0
thealgorithmicbridge,0.019326200869004974,0,2,0
