repeat,adaptive_fitness,static_fitness,adaptive_entropy,static_entropy,meta_events,avg_rate_drift
0,-14.9243,-23,0.9368609479396016,0.9368609479396016,64,9.28844646687589e-05
1,-14.9765,-20,0.955965185666141,0.955965185666141,167,0.0002353299512211454
2,-5.6,-12.5,0.9266102748584982,0.9266102748584982,174,0.0001961737436626872
3,-14.90035,-15.6,0.9463519130652199,0.9463519130652199,284,0.0003547169772062946
4,-28,-28,0.9504581068778947,0.9504581068778947,57,7.143461602225191e-05
5,-5.617699999999999,-11.5,0.9694243703362527,0.9694243703362527,89,0.00010614236171206259
6,-14.5,-14.5,0.947152928878241,0.947152928878241,240,0.0002714148167339565
7,-14.9023,-17.2,0.9362321563938194,0.9362321563938194,262,0.0003130613660031642
8,-23,-23,0.9531215292934418,0.9531215292934418,77,0.00010339914659417067
9,-2,-2,0.968914194050638,0.968914194050638,236,0.00029481786819448804
10,0,0,0.9500610241098975,0.9500610241098975,133,0.00018144493372601017
11,-5,-5,0.966931991404663,0.966931991404663,45,5.467374962356756e-05
12,-17.5,-17.5,0.9739505146615086,0.9739505146615086,285,0.0003574014387499019
13,-14.9204,-20,0.9622355464738396,0.9622355464738396,236,0.0002893056875077203
14,-14.921850000000001,-17.2,0.9670162944263057,0.9670162944263057,53,5.99061127102621e-05
15,-14.908100000000001,-23,0.9324815730379125,0.9324815730379125,44,6.62959923622052e-05
16,-5.6033,-7.8,0.9591704775977941,0.9591704775977941,297,0.00040490547863560354
17,-14.9128,-18.1,0.94587627512575,0.94587627512575,129,0.0001406728734123159
18,-5.6,-5.6,0.9735873368651765,0.9735873368651765,167,0.0001984604735543614
19,-20,-20,0.9825980531955496,0.9825980531955496,141,0.00017240472139579255
20,-16.5,-16.5,0.9579394395721004,0.9579394395721004,347,0.00043378647905728524
21,-14.9,-14.9,0.9443030047495324,0.9443030047495324,222,0.00029016535073854145
22,-16.5,-16.5,0.9639472447706463,0.9639472447706463,72,9.158475733503019e-05
23,-4,-4,0.9738093323628212,0.9738093323628212,62,8.030123845264346e-05
24,-16.5,-16.5,0.9681311489539879,0.9681311489539879,226,0.0002576865048616834
25,-26,-26,0.9405944023478164,0.9405944023478164,48,4.9715187653124973e-05
26,-5,-5,0.9687989970168145,0.9687989970168145,105,0.00011480001303037027
27,-14.90615,-19,0.9674806078954564,0.9674806078954564,222,0.00031877903338371966
28,-5.635549999999999,-13.5,0.9654583766842227,0.9654583766842227,164,0.0002190296737107667
29,-14.91435,-19,0.9145476493640361,0.9145476493640361,112,0.00017442401631415978
30,-4,-4,0.973169625336731,0.973169625336731,295,0.0003547493570360754
31,-22,-22,0.9774172681792165,0.9774172681792165,150,0.00016531769762846314
32,-5.60945,-6.5,0.9592623054692097,0.9592623054692097,161,0.0001988293844327323
33,-6,-6,0.9756735790339052,0.9756735790339052,185,0.0002003690482363883
34,-12.5,-12.5,0.9579989134075151,0.9579989134075151,70,7.243614344874322e-05
35,-7,-7,0.9698549055815201,0.9698549055815201,208,0.00022700893248518844
36,-5.60975,-9.5,0.9424695224385152,0.9424695224385152,234,0.0002863532864526935
37,-5.602449999999999,-10.5,0.9591055676700763,0.9591055676700763,227,0.0003037418723842237
38,-14.9,-14.9,0.9798045922904975,0.9798045922904975,253,0.0003103140222864192
39,-4,-4,0.9786521546772216,0.9786521546772216,280,0.0003396050745580218
40,-25,-25,0.970894301959931,0.970894301959931,148,0.00015760950123564716
41,-1,-1,0.9384456818436578,0.9384456818436578,64,6.59580550517635e-05
42,-14.911200000000001,-18.1,0.9451143369870332,0.9451143369870332,232,0.0002863117977930562
43,-14.908050000000001,-17.2,0.9666753803401719,0.9666753803401719,224,0.0002855500116569703
44,-14.90175,-15.6,0.928946914503959,0.928946914503959,307,0.0004012273025462467
45,-1,-1,0.9675451456678459,0.9675451456678459,95,9.344277176581173e-05
46,-8.6,-8.6,0.9605832354262366,0.9605832354262366,275,0.00028660226791064625
47,-10.5,-10.5,0.9391672123857076,0.9391672123857076,229,0.0002763634637593562
48,-20,-20,0.9664785370176762,0.9664785370176762,113,0.00013936575846078467
49,0,0,0.9560177441667378,0.9560177441667378,96,0.00012597753449789033
